喜宴,1993,8.9,301287
哈利·波特与火焰杯,2005,8.7,531863
电锯惊魂,2004,8.8,458099
黑客帝国3：矩阵革命,2003,8.8,389368
模仿游戏,2014,8.7,544941
花样年华,2000,8.7,512722
卢旺达饭店,2004,8.9,280852
三块广告牌,2017,8.7,724749
上帝之城,2002,9.0,269207
疯狂原始人,2013,8.7,749311
风之谷,1984,8.9,320768
你的名字。,2016,8.5,1212861
头脑特工队,2015,8.8,522357
谍影重重3,2007,8.8,370926
英雄本色,1986,8.6,459997
达拉斯买家俱乐部,2013,8.8,394834
纵横四海,1991,8.8,362750
心迷宫,2014,8.7,441176
岁月神偷,2010,8.7,524746
惊魂记,1960,9.0,233047
记忆碎片,2000,8.7,536200
海街日记,2015,8.8,377893
忠犬八公物语,1987,9.2,168000
荒蛮故事,2014,8.8,383149
九品芝麻官,1994,8.6,552938
爆裂鼓手,2014,8.7,499447
真爱至上,2003,8.6,645730
贫民窟的百万富翁,2008,8.6,664323
绿里奇迹,1999,8.9,272773
东邪西毒,1994,8.6,514846
爱在午夜降临前,2013,8.8,323682
小偷家族,2018,8.7,726525
无敌破坏王,2012,8.7,465956
冰川时代,2002,8.6,542713
黑天鹅,2010,8.6,714840
你看起来好像很好吃,2010,8.9,294335
疯狂的石头,2006,8.5,708866
色，戒,2007,8.6,635466
萤火虫之墓,1988,8.7,369057
雨人,1988,8.7,359761
雨中曲,1952,9.1,184654
恐怖游轮,2009,8.5,708391
恋恋笔记本,2004,8.6,580362
2001太空漫游,1968,8.9,266388
魔女宅急便,1989,8.7,400564
可可西里,2004,8.8,261794
城市之光,1931,9.3,121357
虎口脱险,1966,8.9,215932
遗愿清单,2007,8.7,368432
人工智能,2001,8.7,386597
大佛普拉斯,2017,8.7,372595
初恋这件小事,2010,8.4,888962
海边的曼彻斯特,2016,8.6,430198
二十二,2015,8.7,265045
牯岭街少年杀人事件,1991,8.9,237410
罗生门,1950,8.8,270852
终结者2：审判日,1991,8.8,302536
奇迹男孩,2017,8.6,497427
无间道2,2003,8.7,385246
房间,2015,8.8,335177
东京教父,2003,9.0,172275
源代码,2011,8.5,718896
青蛇,1993,8.6,455518
新龙门客栈,1992,8.6,386997
茶馆,1982(中国大陆),9.5,87576
疯狂的麦克斯4：狂暴之路,2015,8.6,459306
魂断蓝桥,1940,8.8,242958
波西米亚狂想曲,2018,8.7,512665
无耻混蛋,2009,8.6,415840
步履不停,2008,8.8,239003
血钻,2006,8.7,325631
背靠背，脸对脸,1994,9.5,89792
彗星来的那一夜,2013,8.5,473801
黑客帝国2：重装上阵,2003,8.6,350219
千钧一发,1997,8.8,242774
小丑,2019,8.7,874690
战争之王,2005,8.7,314152
燃情岁月,1994,8.8,255290
谍影重重2,2004,8.7,311065
崖上的波妞,2008,8.6,410968
海洋,2009,9.1,145122
阿飞正传,1990,8.5,440312
穿越时空的少女,2006,8.6,341331
谍影重重,2002,8.6,373059
地球上的星星,2007,8.9,182493
香水,2006,8.5,488951
爱乐之城,2016,8.4,740466
再次出发之纽约遇见你,2013,8.6,374861
我爱你,2011,9.1,145446
完美陌生人,2016,8.5,472895
朗读者,2008,8.6,412794
火星救援,2015,8.5,616574
聚焦,2015,8.8,245732
驴得水,2016,8.3,812610
小萝莉的猴神大叔,2015,8.4,436698
千年女优,2001,8.8,210215
浪潮,2008,8.7,241067
猜火车,1996,8.6,377567
